movie_name,actors_List,genre_list
Moonlight,"{'Alex R. Hibbert': 'Little', 'Ashton Sanders': 'Chiron', 'Duan Sanderson': 'Azu', ""Herman 'Caheei McGloun"": 'Longshoreman', 'Jaden Piner': 'Kevin (9)', 'Janelle Monáe': 'Theresa', 'Mahershala Ali': 'Juan', 'Naomie Harris': 'Paula', 'Shariff Earp': 'Terrence', 'Andre Holland': 'Kevin', ""Duan 'Sandy' Sanderson"": 'Azu', ""Duan'Sandy' Sanderson"": 'Azu', 'Eddie Blanchard': 'Portable Boy 3', 'Edson Jean': 'Mr. Pierce', 'Jharrel Jerome': 'Teen Kevin', 'Kamal Ani-Bellow': 'Portable Boy 1', 'Keomi Givens': 'Portable Boy 2', 'Larry Anderson': 'Antwon', 'Patrick Decile': 'Terrel', 'Rudi Goblen': 'Gee', 'Rudi Goblin': 'Gee', 'Stephon Bron': 'Travis', 'Tanisha Cidel': 'Principal Williams', 'Trevante Rhodes': 'Black/Chiron'}",['Drama']
Intolerance,"{'Lillian Gish': 'The Woman Who Rocks The Cradle/Eternal Mother', 'Dore Davidson': 'The Friendly Neighbor', 'Edward Dillon': 'Crook', 'Elmer Clifton': 'The Rhapsode', 'Frank Bennett': 'Charles IX', 'Josephine Crowell': 'Catherine De M', 'Lucille Browne': 'Uplifter', 'Mary Alden': 'Uplifter', 'Miriam Cooper': 'The Friendless One', 'Monte Blue': 'The Strike Leader', 'Pearl Elmore': 'Uplifter', 'Sam De Grasse': 'Arthur Jenkins', 'Spottiswoode Aitken': ""Brown Eyes's Father"", 'Taylor N. Duncan': 'Captain Of The Gateg/Bodyguard Of The Princess Beloved', 'William H. Brown': 'Father Of The Bride Of Cana/Warden'}","['Drama', 'History']"
Pinocchio,"{'Charles Judels': 'Stromboli/The Coachman', 'Cliff Edwards': 'Jiminy Cricket', 'Dickie Jones': 'Pinocchio/Alexander', 'Don Brodie': 'Carnival Barker', 'Frankie Darro': 'Lampwick', 'Marion Darlington': 'Birds', 'Mel Blanc': 'Gideon (Hiccup)/Marionette Soldiers', 'Stuart Buchanan': 'Carnival Barker', 'Walter Catlett': 'J. Worthington Foulfellow', 'Clarence Nash': 'Figaro/Roughhouse Statue/Donkeys', 'Jack Mercer': 'Russian Puppets', 'John McLeish': 'Carnival Barker', 'Mae Questel': 'Puppets', 'Patricia Page': 'Marionettes', 'Thurl Ravenscroft': 'Monstro'}","['Fantasy', 'Comedy', 'Animation', 'Family', 'Musical']"
Touch of Evil,"{'Akim Tamiroff': ""'Uncle' Joe Grandi"", 'Charlton Heston': 'Mike Vargas', 'Dennis Weaver': 'Mirador Motel Night Manager', 'Janet Leigh': 'Susan Vargas', 'Joanna Moore': 'Marcia Linnekar', 'Joseph Calleia': 'Police Sergeant Pete Menzies', 'Mort Mills': 'Al Schwartz', 'Orson Welles': 'Police Captain Hank Quinlan', 'Ray Collins': 'District Attorney Adair', 'Valentin de Vargas': 'Pancho', 'Joi Lansing': 'Zita', 'Lalo Rios': 'Risto', 'Michael Sargent': 'Pretty Boy', 'Phil Harvey': 'Blaine', 'Victor Millan': 'Manelo Sanchez'}","['Drama', 'Thriller', 'Crime', 'Film-Noir']"
The Lady Vanishes,"{'Basil Radford': 'Charters', 'Cecil Parker': 'Mr. Todhunter', 'Dame May Whitty': 'Miss Froy', 'Emile Boreo': 'Hotel Manager', 'Linden Travers': ""'Mrs.' Todhunter"", 'Margaret Lockwood': 'Iris Matilda Henderson', 'Mary Clare': 'Baroness Athona', 'Michael Redgrave': 'Gilbert Redman', 'Naunton Wayne': 'Caldicott', 'Paul Lukas': 'Dr. Egon Hartz', 'Catherine Lacey': 'The Nun', 'Googie Withers': 'Blanche', 'Philip Leaver': 'Signor Doppo', 'Sally Stewart': 'Julie', 'Selma Vaz Dias': 'Signora Doppo'}","['Mystery', 'Thriller']"
The Treasure of the Sierra Madre,"{'Alfonso Bedoya': 'Gold Hat', 'Arturo Soto Rangel': 'Presidente', 'Barton MacLane': 'McCormick', 'Bruce Bennett': 'Cody', 'Humphrey Bogart': 'Dobbs', 'José Torvay': 'Pablo', 'Manuel Dondé': 'El Jefe', 'Margarito Luna': 'Pancho', 'Tim Holt': 'Curtin', 'Walter Huston': 'Howard', 'Guillermo Calles': 'Mexican Storeowner', 'Jacqueline Dalya': 'Flashy Girl', 'Robert Blake': 'Mexican Boy Selling Lottery Tickets', 'Roberto Cañedo': 'Mexican Lieutenant', 'Spencer Chan': 'Proprietor'}","['Adventure', 'Drama', 'Western']"
Pan's Labyrinth,"{'Ariadna Gil': 'Carmen Vidal', 'Ivana Baquero': 'Ofelia', 'Sergi López': 'Vidal', 'Álex Angulo': 'Doctor', 'César Vea': 'Serrano', 'Doug Jones': 'Fauno/Pale Man', 'Eusebio Lázaro': 'Padre', 'Francisco Vidal': 'Sacerdote', 'Gonzalo Uriarte': 'Francés', 'Ivan Massagué': 'El Tarta', 'Juanjo Cucalón': 'Alcalde', 'Lina Mira': 'Esposa Del Alcalde', 'Manolo Solo': 'Garcés', 'Maribel Verdú': 'Mercedes', 'Roger Casamajor': 'Pedro'}","['Drama', 'Mystery', 'Thriller', 'Fantasy', 'War']"
Some Like It Hot,"{'Billy Gray': 'Sig Poliakoff', 'George E. Stone': 'Toothpick Charlie', 'George Raft': 'Spats Colombo', 'Jack Lemmon': 'Jerry/Daphne', 'Joan Shawlee': 'Sweet Sue', 'Joe E. Brown': 'Osgood Fielding III', 'Marilyn Monroe': 'Sugar Kane Kowalczyk', 'Nehemiah Persoff': 'Little Bonaparte', ""Pat O'Brien"": 'Detective Mulligan', 'Tony Curtis': 'Joe/Josephine/Shell Oil Junior', 'Barbara Drew': 'Nellie', 'Beverly Wills': 'Dolores', 'Dave Barry': 'Beinstock', 'Harry Wilson': ""Spats' Henchman"", 'Mike Mazurki': ""Spats' Henchman""}","['Comedy', 'Romance']"
North by Northwest,"{'Adam Williams': 'Valerian', 'Cary Grant': 'Roger O. Thornhill', 'Edward Platt': 'Victor Larrabee', 'Eva Marie Saint': 'Eve Kendall', 'James Mason': 'Phillip Vandamm', 'Jessie Royce Landis': 'Clara Thornhill', 'Josephine Hutchinson': 'Mrs. Townsend', 'Leo G. Carroll': 'The Professor', 'Martin Landau': 'Leonard', 'Philip Ober': 'Lester Townsend', 'Edward Binns': 'Captain Junket', 'Les Tremayne': 'Auctioneer', 'Patrick McVey': 'Sergeant Flamm', 'Philip Coolidge': 'Dr. Cross', 'Robert Ellenstein': 'Licht'}","['Action', 'Adventure', 'Mystery', 'Thriller']"
Hoop Dreams,"{'Arthur Agee': 'Himself', 'William Gates': 'Himself', 'Aretha Mitchell': 'Herself - High School Guidance Counselor', ""Arthur 'Bo' Agee"": ""Himself - Arthur's Father"", 'Bill Gleason': 'Himself - Television Reporter', 'Curtis Gates': ""Himself - William's Brother"", 'Earl Smith': 'Himself - Talent Scout', 'Emma Gates': ""Herself - William's Mother"", 'Gene Pingatore': 'Himself - High School Basketball Coach', 'Isiah Thomas': 'Himself - Professional Basketball Player', 'Luther Bedford': 'Himself - High School Basketball Coach', 'Marjorie Heard': 'Herself - High School Guidance Counselor', 'Marlyn Hopewell': 'Herself - High School Guidance Counselor', 'Patricia Weir': 'Herself - President: Encyclopedia Brittanica', 'Sheila Agee': ""Herself - Arthur's Mother""}","['Drama', 'Sport', 'Documentary']"
Rashomon,"{'Daisuke Katô': 'Policeman', 'Kichijir': 'Commoner', 'Leslie Daniels': 'Priest', 'Machiko Kyô': 'Masako Kanazawa', 'Masayuki Mori': 'Takehiro Kanazawa', 'Minoru Chiaki': 'Priest', 'Noriko Honma': 'Medium', 'Takashi Shimura': 'Woodcutter', 'Toshirô Mifune': 'Tajômaru', 'Masaichi Nagata': 'Executive Producer', 'Minoru Jingo': 'Producer'}","['Drama', 'Mystery', 'Crime']"
All About Eve,"{'Anne Baxter': 'Eve', 'Barbara Bates': 'Phoebe', 'Bette Davis': 'Margo', 'Celeste Holm': 'Karen', 'Gary Merrill': 'Bill Simpson', 'George Sanders': 'Addison DeWitt', 'Gregory Ratoff': 'Max Fabian', 'Hugh Marlowe': 'Lloyd Richards', 'Marilyn Monroe': 'Miss Casswell', 'Thelma Ritter': 'Birdie', 'Barbara White': 'Autograph Seeker', 'Craig Hill': 'Leading Man', 'Leland Harris': 'Doorman', 'Randy Stuart': 'Girl', 'Walter Hampden': 'Aged Actor'}",['Drama']
Jules and Jim,"{'Jeanne Moreau': 'Catherine', 'Oskar Werner': 'Jules', 'Anny Nelsen': 'Lucie', 'Bernard Largemain': 'Merlin', 'Danielle Bassiak': ""Albert's Companion"", 'Dominique Lacarrière': 'One Of The Women', 'Elen Bober': 'Mathilde', 'Henri Serre': 'Jim', 'Kate Noelle': 'Birgitta', 'Marie Dubois': 'Th', 'Michel Subor': 'R', 'Pierre Fabre': 'Drunkard In Cafe', 'Sabine Haudepin': 'Sabine, La Petite', 'Serge Rezvani': 'Albert', 'Vanna Urbino': 'Gilberte'}","['Drama', 'Romance']"
The Wild Bunch,"{'Ben Johnson': 'Tector Gorch', ""Edmond O'Brien"": 'Freddie Sykes', 'Emilio Fernández': 'Mapache', 'Ernest Borgnine': 'Dutch Engstrom', 'Jaime Sanchez': 'Angel', 'L.Q. Jones': 'T.C', 'Robert Ryan': 'Deke Thornton', 'Strother Martin': 'Coffer', 'Warren Oates': 'Lyle Gorch', 'William Holden': 'Pike Bishop', 'Albert Dekker': 'Harrigan', 'Bo Hopkins': 'Crazy Lee', 'Dub Taylor': 'Wainscoat', 'Jorge Russek': 'Zamorra', 'Paul Harper': 'Ross'}","['Action', 'Adventure', 'Western']"
My Left Foot,"{'Brenda Fricker': 'Mrs. Brown', 'Daniel Day-Lewis': 'Christy Brown', 'Alison Whelan': 'Sheila', 'Cyril Cusack': 'Lord Castlewelland', 'Declan Croghan': 'Tom', 'Derry Power': 'Customer In Bar', 'Eanna MacLiam': 'Benny', 'Fiona Shaw': 'Dr. Eileen Cole', ""Hugh O'Conor"": 'Young Christy Brown', 'Kirsten Sheridan': 'Sharon', 'Marie Conmee': 'Sadie', 'Pat Laffan': 'Barman', 'Phelim Drew': 'Brian', 'Ray McAnally': 'Mr. Brown', 'Ruth McCabe': 'Mary'}","['Biography', 'Drama']"
The Third Man,"{'Alida Valli': 'Anna Schmidt', 'Bernard Lee': 'Sgt. Paine', 'Erich Ponto': 'Dr. Winkel', 'Ernst Deutsch': ""'Baron' Kurtz"", 'Joseph Cotten': 'Holly Martins', 'Orson Welles': 'Harry Lime', 'Paul Hörbiger': ""Karl - Harry's Porter"", 'Siegfried Breuer': 'Popescu', 'Trevor Howard': 'Maj. Calloway', 'Wilfrid Hyde-White': 'Crabbin', 'Harold Ayer': 'Soldier', 'Harry Belcher': 'Man Chasing Holly', 'Hedwig Bleibtreu': ""Anna's Old Landlady"", 'Jack Arrow': 'International Patrol A', 'Nelly Arno': ""Kurtz's Mother""}","['Mystery', 'Thriller', 'Film-Noir']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"{'George C. Scott': ""General 'Buck' Turgidson"", 'Peter Sellers': 'Group Captain Lionel Mandrake/President Merkin Muffley/Dr. Strangelove', 'Frank Berry': 'Lieutenant Dietrich', 'Glenn Beck': 'Lieutenant Kivel', 'Hal Galili': 'Burpelson AFB Defense Team Member', 'Jack Creley': 'Mr. Staines', 'James Earl Jones': 'Lieutenant Lothar Zogg', 'Keenan Wynn': ""Colonel 'Bat' Guano"", 'Peter Bull': 'Russian Ambassador Alexi De Sadesky', ""Robert O'Neil"": 'Admiral Randolph', 'Roy Stephens': 'Frank', 'Shane Rimmer': ""Captain 'Ace' Owens"", 'Slim Pickens': ""Major 'King' Kong"", 'Sterling Hayden': 'Brigadier General Jack Ripper', 'Tracy Reed': 'Miss Scott'}","['Thriller', 'Comedy']"
"Quo Vadis, Aida?","{'Boris Isakovic': 'General Ratko Mladic', 'Boris Ler': 'Hamdija', 'Dino Bajrovic': 'Sejo', 'Emir Hadzihafizbegovic': 'Joka', 'Izudin Bajrovic': 'Nihad', 'Jasna Djuricic': 'Aida Selmanagic', 'Johan Heldenbergh': 'Colonel Karremans', 'Raymond Thiry': 'Major Franken', 'Reinout Bussemaker': 'Colonel Dr. Robben', 'Teun Luijkx': 'Captain Mintjes', 'Alban Ukaj': 'Tarik', 'Edita Malovcic': 'Vesna', 'Ermin Bravo': 'The Mayor', 'Jelena Kordic': 'Chamila', 'Juda Goslinga': 'Lieutenant Rutten'}","['Drama', 'History', 'War']"
Gone with the Wind,"{'Vivien Leigh': 'Scarlett - Their Daughter', 'Alicia Rhett': 'India - His Daughter', 'Ann Rutherford': 'Carreen - Their Daughter', ""Barbara O'Neil"": 'Ellen - His Wife', 'Butterfly McQueen': 'Prissy - House Servant', 'Evelyn Keyes': 'Suellen - Their Daughter', 'Everett Brown': 'Big Sam - Field Foreman', 'Fred Crane': ""Stuart Tarleton - Scarlett's Beau"", 'George Reeves': ""Brent Tarleton - Scarlett's Beau"", 'Hattie McDaniel': 'Mammy - House Servant', 'Howard C. Hickman': 'John Wilkes', 'Leslie Howard': 'Ashley - His Son', 'Oscar Polk': 'Pork - House Servant', 'Thomas Mitchell': ""Gerald O'Hara"", 'Victor Jory': 'Jonas Wilkerson - Field Overseer'}","['Drama', 'History', 'Romance', 'War']"
"4 Months, 3 Weeks and 2 Days","{'Anamaria Marinca': 'Otilia', 'Vlad Ivanov': ""Viarel Aka Domnu' Bebe"", 'Adi Carauleanu': ""Dr. Radu - Adi's Father"", 'Alexandru Potocean': 'Adi Radu', 'Cerasela Iosifescu': 'Receptionist Tineretului', 'Constantin Bojog': 'Martu', 'Costica Babu': 'Tatal Gabitei', 'Cristina Burbuz': 'Marie-Jeanne Rusu', 'Doru Ana': 'Benzanirul', 'Eugenia Bosânceanu': ""Domnu' Bebe's Mother"", 'Ion Sapdaru': 'Dr. Rusu', 'Laura Vasiliu': ""Gabriela 'Gabita' Dragut"", 'Liliana Mocanu': 'Unireal Hotel Receptionist', 'Luminita Gheorghiu': ""Gina Radu - Adi's Mother"", 'Marioara Sterian': 'Adela Racoviceanu', 'Mihaela Alexandru': 'Daniela', 'Monica Alexandrescu': 'Female Soldier', 'Tania Popa': 'Night Receptionist', 'Teodor Corban': 'Unireal Hotel Receptionist'}",['Drama']
Psycho,"{'Anthony Perkins': 'Norman Bates', 'Janet Leigh': 'Marion Crane', 'Fletcher Allen': 'Policeman On Steps', 'Frank Albertson': 'Tom Cassidy', 'John Anderson': 'California Charlie', 'John Gavin': 'Sam Loomis', 'John McIntire': 'Sheriff Al Chambers', 'Lurene Tuttle': 'Mrs. Chambers', 'Martin Balsam': 'Det. Milton Arbogast', 'Mort Mills': 'Highway Patrol Officer', 'Patricia Hitchcock': 'Caroline', 'Simon Oakland': 'Dr. Fred Richman', 'Vaughn Taylor': 'George Lowery', 'Vera Miles': 'Lila Crane', 'Walter Bacon': 'Church Member'}","['Mystery', 'Thriller', 'Horror']"
Battleship Potemkin,"{'A. Glauberman': 'Wounded Boy', 'Aleksandr Antonov': 'Grigory Vakulinchuk', 'Aleksandr Levshin': 'Petty Officer', 'Grigoriy Aleksandrov': 'Chief Officer Giliarovsky', 'Ivan Bobrov': 'Young Sailor Flogged While Sleeping', 'Konstantin Feldman': 'Student Agitator', 'Mikhail Gomorov': 'Militant Sailor', 'N. Poltavtseva': 'Woman With Pince-Nez', 'Prokhorenko': 'Mother Carrying Wounded Boy', 'Vladimir Barskiy': 'Commander Golikov', 'Beatrice Vitoldi': 'Woman With Baby Carriage', 'Daniil Antonovich': 'Sailor', 'Iona Biy-Brodskiy': 'Student', 'Julia Eisenstein': 'Woman With Food For Sailors', 'Sergei M. Eisenstein': 'Odessa Citizen'}","['Drama', 'History', 'Thriller', 'War']"
A Streetcar Named Desire,"{'Ann Dere': 'The Matron', 'Karl Malden': ""Harold 'Mitch' Mitchell"", 'Kim Hunter': 'Stella Kowalski', 'Marlon Brando': 'Stanley Kowalski', 'Nick Dennis': 'Pablo Gonzalez', 'Peg Hillias': 'Eunice Hull', 'Richard Garrick': 'The Doctor', 'Rudy Bond': 'Steve Hull', 'Vivien Leigh': 'Blanche DuBois', 'Wright King': 'Newspaper Collector', 'Dahn Ben Amotz': 'Minor Role', 'Edna Thomas': 'The Mexican Woman', 'Marietta Canty': 'Giggling Woman With Eunice', 'Mel Archer': 'Foreman', 'Mickey Kuhn': 'The Helpful Sailor'}",['Drama']
The Maltese Falcon,"{'Barton MacLane': 'Lt. Of Detectives Dundy', 'Elisha Cook Jr.': 'Wilmer Cook', 'Gladys George': 'Iva Archer', 'Humphrey Bogart': 'Samuel Spade', 'Jerome Cowan': 'Miles Archer', 'Lee Patrick': 'Effie Perine', 'Mary Astor': ""Brigid O'Shaughnessy"", 'Peter Lorre': 'Joel Cairo', 'Sydney Greenstreet': 'Kasper Gutman', 'Ward Bond': 'Detective Tom Polhaus', 'Charles Drake': 'Reporter', 'Chester Gan': 'Bit Part', 'James Burke': 'Luke', 'John Hamilton': 'Bryan', 'Murray Alper': 'Frank Richman'}","['Mystery', 'Film-Noir']"
American Graffiti,"{'Bo Hopkins': 'Joe', 'Candy Clark': 'Debbie', 'Charles Martin Smith': 'Terry', 'Cindy Williams': 'Laurie', 'Mackenzie Phillips': 'Carol', 'Manuel Padilla Jr.': 'Carlos', 'Paul Le Mat': 'John', 'Richard Dreyfuss': 'Curt', 'Ron Howard': 'Steve', 'Wolfman Jack': 'Disc Jockey', 'Beau Gentry': 'Ants', 'Deby Celiz': 'Wendy', 'Harrison Ford': 'Bob Falfa', 'Jana Bellan': 'Budda', 'Jim Bohan': 'Holstein'}","['Drama', 'Comedy']"
Dumbo,"{'Billy Bletcher': 'Clown', 'Cliff Edwards': 'Jim Crow', 'Eddie Holden': 'Clown', 'Edward Brophy': 'Timothy Q. Mouse', 'Herman Bing': 'The Ringmaster', 'James Baskett': 'Fat Crow', 'Jim Carmichael': 'Straw-Hat Crow', 'Noreen Gammill': 'Catty The Elephant', 'Sterling Holloway': 'Mr. Stork', 'Verna Felton': 'The Elephant Matriarch/Mrs. Jumbo', 'Hall Johnson': 'Preacher Crow', 'Harold Manley': 'Boy', 'James MacDonald': 'Roaring Lion', 'John McLeish': 'Narrator', 'Malcolm Hutton': 'Skinny'}","['Drama', 'Animation', 'Family', 'Musical']"
Roma,"{'Andy Cortés': 'Ignacio', 'Carlos Peralta': 'Paco', 'Daniela Demesa': 'Sofi', 'Diego Cortina Autrey': 'Toño', 'Fernando Grediaga': 'Sr. Antonio', 'Marco Graf': 'Pepe', 'Marina de Tavira': 'Sra. Sofía', 'Nancy García García': 'Adela', 'Verónica García': 'Sra. Teresa', 'Yalitza Aparicio': 'Cleo', 'Jorge Antonio Guerrero': 'Fermín', 'José Luis López Gómez': 'Pediatra', 'José Manuel Guerrero Mendoza': 'Ramón', 'Latin Lover': 'Profesor Zovek', 'Zarela Lizbeth Chinolla Arellano': 'Dra. Velez'}",['Drama']
Ran,"{'Akira Terao': 'Taro Takatora Ichimonji', 'Daisuke Ryû': 'Saburo Naotora Ichimonji', 'Jinpachi Nezu': 'Jiro Masatora Ichimonji', 'Tatsuya Nakadai': 'Lord Hidetora Ichimonji', 'Hisashi Igawa': 'Shuri Kurogane', 'Kazuo Katô': 'Kageyu Ikoma', 'Kenji Kodama': 'Samon Shirane', 'Mansai Nomura': 'Tsurumaru', 'Masayuki Yui': 'Tango Hirayama', 'Mieko Harada': 'Lady Kaede', 'Norio Matsui': 'Shumenosuke Ogura', 'Peter': 'Kyoami', 'Takashi Watanabe': 'Cast', 'Toshiya Ito': 'Mondo Naganuma', 'Yoshiko Miyazaki': 'Lady Sue'}","['Action', 'Drama', 'War']"
